id,kind,section,deck,level,promptLine,question,choiceA,choiceB,choiceC,choiceD,correct,explanationA,explanationB,explanationC,explanationD,tags,difficulty
foundation1-019,vocab,Foundation,Foundation 1,HSK1,zhè — 这,What does this mean?,That,This,Which,Those,B,That is 那 (nà),Correct! 这 (zhè) means 'this',Which is 哪 (nǎ),Those is 那些 (nà xiē),pronoun;basic,1
foundation1-020,vocab,Foundation,Foundation 1,HSK1,nà — 那,What does this mean?,This,Which,That,These,C,This is 这 (zhè),Which is 哪 (nǎ),Correct! 那 (nà) means 'that',These is 这些 (zhè xiē),pronoun;basic,1
numbers-001,vocab,Foundation,Numbers,HSK1,yī — 一,What number is this?,One,Two,Ten,Zero,A,Correct! 一 (yī) means 'one',Two is 二 (èr),Ten is 十 (shí),Zero is 零 (líng),number;basic,1
numbers-002,vocab,Foundation,Numbers,HSK1,èr — 二,What number is this?,One,Two,Three,Four,B,One is 一 (yī),Correct! 二 (èr) means 'two',Three is 三 (sān),Four is 四 (sì),number;basic,1
numbers-003,vocab,Foundation,Numbers,HSK1,sān — 三,What number is this?,Two,Three,Four,Five,B,Two is 二 (èr),Correct! 三 (sān) means 'three',Four is 四 (sì),Five is 五 (wǔ),number;basic,1
numbers-004,vocab,Foundation,Numbers,HSK1,sì — 四,What number is this?,Three,Four,Five,Six,B,Three is 三 (sān),Correct! 四 (sì) means 'four',Five is 五 (wǔ),Six is 六 (liù),number;basic,1
numbers-005,vocab,Foundation,Numbers,HSK1,wǔ — 五,What number is this?,Four,Five,Six,Seven,B,Four is 四 (sì),Correct! 五 (wǔ) means 'five',Six is 六 (liù),Seven is 七 (qī),number;basic,1
numbers-006,vocab,Foundation,Numbers,HSK1,liù — 六,What number is this?,Five,Six,Seven,Eight,B,Five is 五 (wǔ),Correct! 六 (liù) means 'six',Seven is 七 (qī),Eight is 八 (bā),number;basic,1
numbers-007,vocab,Foundation,Numbers,HSK1,qī — 七,What number is this?,Six,Seven,Eight,Nine,B,Six is 六 (liù),Correct! 七 (qī) means 'seven',Eight is 八 (bā),Nine is 九 (jiǔ),number;basic,1
numbers-008,vocab,Foundation,Numbers,HSK1,bā — 八,What number is this?,Seven,Eight,Nine,Ten,B,Seven is 七 (qī),Correct! 八 (bā) means 'eight',Nine is 九 (jiǔ),Ten is 十 (shí),number;basic,1
numbers-009,vocab,Foundation,Numbers,HSK1,jiǔ — 九,What number is this?,Eight,Nine,Ten,Eleven,B,Eight is 八 (bā),Correct! 九 (jiǔ) means 'nine',Ten is 十 (shí),Eleven is 十一 (shí yī),number;basic,1
numbers-010,vocab,Foundation,Numbers,HSK1,shí — 十,What number is this?,Nine,Ten,Eleven,Twenty,B,Nine is 九 (jiǔ),Correct! 十 (shí) means 'ten',Eleven is 十一 (shí yī),Twenty is 二十 (èr shí),number;basic,1
greetings1-001,phrase,Foundation,Greetings 1,HSK1,duì bu qǐ — 对不起,What does this phrase mean?,You're welcome,Sorry,Excuse me,Never mind,B,You're welcome is 不客气 (bú kè qi),Correct! 对不起 (duì bu qǐ) means 'sorry' or 'I apologize',Excuse me is 不好意思 (bù hǎo yì si),Never mind is 没关系 (méi guān xi),courtesy;phrase,1
greetings1-002,phrase,Foundation,Greetings 1,HSK1,méi guān xi — 没关系,What does this phrase mean?,I'm sorry,It doesn't matter,Thank you,You're right,B,I'm sorry is 对不起 (duì bu qǐ),Correct! 没关系 (méi guān xi) means 'it doesn't matter' or 'no problem',Thank you is 谢谢 (xiè xie),You're right is 对 (duì),courtesy;phrase,1
greetings1-003,sentence,Foundation,Greetings 1,HSK1,wǒ ài nǐ — 我爱你,What does this sentence mean?,I like you,I love you,I miss you,I need you,B,I like you is 我喜欢你 (wǒ xǐ huan nǐ),Correct! 我爱你 (wǒ ài nǐ) means 'I love you',I miss you is 我想你 (wǒ xiǎng nǐ),I need you is 我需要你 (wǒ xū yào nǐ),sentence;emotion,1
greetings1-004,sentence,Foundation,Greetings 1,HSK1,nǐ hǎo ma — 你好吗,What does this sentence mean?,Hello,How are you?,What's your name?,Where are you?,B,Hello is just 你好 (nǐ hǎo),Correct! 你好吗 (nǐ hǎo ma) means 'How are you?' (literally 'Are you well?'),What's your name is 你叫什么名字 (nǐ jiào shén me míng zi),Where are you is 你在哪里 (nǐ zài nǎ lǐ),sentence;greeting,1
greetings1-005,sentence,Foundation,Greetings 1,HSK1,wǒ hěn hǎo — 我很好,What does this sentence mean?,I'm okay,I'm very good/well,I'm the best,I'm beautiful,B,Okay is 还可以 (hái kě yǐ),Correct! 我很好 (wǒ hěn hǎo) means 'I'm very good/well',Best is 最好 (zuì hǎo),Beautiful is 漂亮 (piào liang),sentence;response,1
greetings1-006,phrase,Foundation,Greetings 1,HSK1,bú kè qi — 不客气,What does this phrase mean?,Thank you,You're welcome,Sorry,Goodbye,B,Thank you is 谢谢 (xiè xie),Correct! 不客气 (bú kè qi) means 'you're welcome' (literally 'don't be polite'),Sorry is 对不起 (duì bu qǐ),Goodbye is 再见 (zài jiàn),courtesy;phrase,1
time1-001,vocab,Foundation,Time 1,HSK1,jīn tiān — 今天,What does this mean?,Yesterday,Today,Tomorrow,Now,B,Yesterday is 昨天 (zuó tiān),Correct! 今天 (jīn tiān) means 'today',Tomorrow is 明天 (míng tiān),Now is 现在 (xiàn zài),time;noun,1
time1-002,vocab,Foundation,Time 1,HSK1,míng tiān — 明天,What does this mean?,Today,Yesterday,Tomorrow,Next week,C,Today is 今天 (jīn tiān),Yesterday is 昨天 (zuó tiān),Correct! 明天 (míng tiān) means 'tomorrow',Next week is 下周 (xià zhōu),time;noun,1
time1-003,vocab,Foundation,Time 1,HSK1,zuó tiān — 昨天,What does this mean?,Today,Tomorrow,Yesterday,Last week,C,Today is 今天 (jīn tiān),Tomorrow is 明天 (míng tiān),Correct! 昨天 (zuó tiān) means 'yesterday',Last week is 上周 (shàng zhōu),time;noun,1
time1-004,vocab,Foundation,Time 1,HSK1,xiàn zài — 现在,What does this mean?,Later,Before,Now,Soon,C,Later is 以后 (yǐ hòu),Before is 以前 (yǐ qián),Correct! 现在 (xiàn zài) means 'now' or 'currently',Soon is 马上 (mǎ shàng),time;adverb,1
time1-005,vocab,Foundation,Time 1,HSK1,nián — 年,What does this mean?,Month,Week,Year,Day,C,Month is 月 (yuè),Week is 星期 (xīng qī),Correct! 年 (nián) means 'year',Day is 天 (tiān),time;noun,1
time1-006,vocab,Foundation,Time 1,HSK1,yuè — 月,What does this mean?,Year,Month/Moon,Week,Day,B,Year is 年 (nián),Correct! 月 (yuè) means 'month' or 'moon',Week is 星期 (xīng qī),Day is 天 (tiān),time;noun,1
time1-007,vocab,Foundation,Time 1,HSK1,tiān — 天,What does this mean?,Earth,Sky/Day,Night,Cloud,B,Earth is 地 (dì),Correct! 天 (tiān) means 'sky' or 'day',Night is 晚上 (wǎn shang),Cloud is 云 (yún),time;noun,1
time1-008,vocab,Foundation,Time 1,HSK1,xīng qī — 星期,What does this mean?,Month,Week,Weekend,Holiday,B,Month is 月 (yuè),Correct! 星期 (xīng qī) means 'week',Weekend is 周末 (zhōu mò),Holiday is 假日 (jià rì),time;noun,1
time1-009,vocab,Foundation,Time 1,HSK1,shàng wǔ — 上午,What does this mean?,Afternoon,Morning,Evening,Night,B,Afternoon is 下午 (xià wǔ),Correct! 上午 (shàng wǔ) means 'morning' (before noon),Evening is 晚上 (wǎn shang),Night is 夜里 (yè lǐ),time;noun,1
time1-010,vocab,Foundation,Time 1,HSK1,xià wǔ — 下午,What does this mean?,Morning,Afternoon,Evening,Noon,B,Morning is 上午 (shàng wǔ),Correct! 下午 (xià wǔ) means 'afternoon',Evening is 晚上 (wǎn shang),Noon is 中午 (zhōng wǔ),time;noun,1
time1-011,contrast,Foundation,Time 1,HSK1,shàng wǔ vs xià wǔ — 上午 vs 下午,What's the relationship?,Both mean noon,"上午 = morning, 下午 = afternoon",Both mean evening,"上午 = night, 下午 = day",B,Noon is 中午 (zhōng wǔ),Correct! 上午 (shàng wǔ) = morning and 下午 (xià wǔ) = afternoon (parts of day),Evening is 晚上 (wǎn shang),Both are daytime periods,contrast;time,1
time1-012,sentence,Foundation,Time 1,HSK1,nǐ chī fàn le ma — 你吃饭了吗,What does this sentence mean?,Are you hungry?,Have you eaten?,Do you like food?,What did you eat?,B,Are you hungry is 你饿吗 (nǐ è ma),Correct! 你吃饭了吗 (nǐ chī fàn le ma) means 'Have you eaten?' (common greeting),Do you like food is 你喜欢吃饭吗 (nǐ xǐ huan chī fàn ma),What did you eat is 你吃了什么 (nǐ chī le shén me),sentence;greeting,1
greetings1-007,phrase,Foundation,Greetings 1,HSK1,nǐ jiào shén me míng zi — 你叫什么名字,What does this phrase mean?,What's your name?,How old are you?,Where are you from?,What do you do?,A,Correct! 你叫什么名字 (nǐ jiào shén me míng zi) means 'What's your name?',How old are you is 你几岁 (nǐ jǐ suì) or 你多大 (nǐ duō dà),Where are you from is 你是哪里人 (nǐ shì nǎ lǐ rén),What do you do is 你做什么工作 (nǐ zuò shén me gōng zuò),phrase;greeting;introduction,1
greetings1-008,sentence,Foundation,Greetings 1,HSK1,wǒ jiào... — 我叫...,What does this sentence pattern mean?,I am...,My name is...,I like...,I want...,B,I am is 我是 (wǒ shì),Correct! 我叫... (wǒ jiào...) means 'My name is...' or 'I'm called...',I like is 我喜欢 (wǒ xǐ huan),I want is 我想 (wǒ xiǎng) or 我要 (wǒ yào),sentence;introduction,1
greetings1-009,phrase,Foundation,Greetings 1,HSK1,zài nǎ lǐ — 在哪里,What does this phrase mean?,How much?,Where?,When?,Who?,B,How much is 多少 (duō shao) or 多少钱 (duō shao qián),Correct! 在哪里 (zài nǎ lǐ) means 'where?' (where is/are...),When is 什么时候 (shén me shí hou),Who is 谁 (shéi/shuí),phrase;question;location,1
greetings1-010,sentence,Foundation,Greetings 1,HSK1,wǒ yào... — 我要...,What does this sentence pattern mean?,I have...,I am...,I want...,I can...,C,I have is 我有 (wǒ yǒu),I am is 我是 (wǒ shì),Correct! 我要... (wǒ yào...) means 'I want...',I can is 我会 (wǒ huì) or 我能 (wǒ néng),sentence;request,1
greetings1-011,sentence,Foundation,Greetings 1,HSK1,wǒ méi yǒu... — 我没有...,What does this sentence pattern mean?,I don't have...,I don't want...,I don't like...,I don't know...,A,Correct! 我没有... (wǒ méi yǒu...) means 'I don't have...',I don't want is 我不要 (wǒ bú yào),I don't like is 我不喜欢 (wǒ bù xǐ huan),I don't know is 我不知道 (wǒ bù zhī dào),sentence;negation,1
greetings1-012,phrase,Foundation,Greetings 1,HSK1,zhè shì shén me — 这是什么,What does this phrase mean?,What is this?,Who is this?,Where is this?,How is this?,A,Correct! 这是什么 (zhè shì shén me) means 'What is this?',Who is this is 这是谁 (zhè shì shéi),Where is this is 这是哪里 (zhè shì nǎ lǐ),How is this is 这怎么样 (zhè zěn me yàng),phrase;question,1
greetings1-013,phrase,Foundation,Greetings 1,HSK1,rèn shi nǐ hěn gāo xìng — 认识你很高兴,What does this phrase mean?,How are you?,Nice to meet you,See you later,Thank you very much,B,How are you is 你好吗 (nǐ hǎo ma),Correct! 认识你很高兴 (rèn shi nǐ hěn gāo xìng) means 'Nice to meet you' (literally 'very happy to know you'),See you later is 一会儿见 (yí huì r jiàn) or 回头见 (huí tóu jiàn),Thank you very much is 非常感谢 (fēi cháng gǎn xiè),phrase;greeting;courtesy,1
greetings1-014,phrase,Foundation,Greetings 1,HSK1,qǐng wèn — 请问,What does this phrase mean?,Goodbye,Excuse me / May I ask,Please come in,You're welcome,B,Goodbye is 再见 (zài jiàn),Correct! 请问 (qǐng wèn) means 'Excuse me' or 'May I ask' (polite way to start a question),Please come in is 请进 (qǐng jìn),You're welcome is 不客气 (bú kè qi),phrase;courtesy;question,1
foundation2-family-001,vocab,Foundation 2,Family,HSK1,jiā rén — 家人,What does this mean?,Family members,Friends,Neighbors,Relatives,A,Correct! 家人 (jiā rén) means 'family members',Friends is 朋友 (péng you),Neighbors is 邻居 (lín jū),Relatives is 亲戚 (qīn qi),family;hsk1,1
foundation2-family-002,vocab,Foundation 2,Family,HSK1,bà ba — 爸爸,What does this mean?,Uncle,Father/Dad,Grandfather,Brother,B,Uncle is 叔叔 (shū shu),Correct! 爸爸 (bà ba) means 'father' or 'dad',Grandfather is 爷爷 (yé ye),Brother is 哥哥 (gē ge) or 弟弟 (dì di),family;hsk1,1
foundation2-family-003,vocab,Foundation 2,Family,HSK1,mā ma — 妈妈,What does this mean?,Aunt,Sister,Mother/Mom,Grandmother,C,Aunt is 阿姨 (ā yí),Sister is 姐姐 (jiě jie) or 妹妹 (mèi mei),Correct! 妈妈 (mā ma) means 'mother' or 'mom',Grandmother is 奶奶 (nǎi nai),family;hsk1,1
foundation2-family-004,vocab,Foundation 2,Family,HSK1,ér zi — 儿子,What does this mean?,Daughter,Son,Child,Brother,B,Daughter is 女儿 (nǚ ér),Correct! 儿子 (ér zi) means 'son',Child is 孩子 (hái zi),Brother is 哥哥 (gē ge) or 弟弟 (dì di),family;hsk1,1
foundation2-family-005,vocab,Foundation 2,Family,HSK1,nǚ ér — 女儿,What does this mean?,Son,Sister,Daughter,Niece,C,Son is 儿子 (ér zi),Sister is 姐姐 (jiě jie) or 妹妹 (mèi mei),Correct! 女儿 (nǚ ér) means 'daughter',Niece is 侄女 (zhí nǚ),family;hsk1,1
foundation2-family-006,vocab,Foundation 2,Family,HSK1,gē ge — 哥哥,What does this mean?,Younger brother,Older brother,Father,Uncle,B,Younger brother is 弟弟 (dì di),Correct! 哥哥 (gē ge) means 'older brother',Father is 爸爸 (bà ba),Uncle is 叔叔 (shū shu),family;hsk1,1
foundation2-family-007,vocab,Foundation 2,Family,HSK1,dì di — 弟弟,What does this mean?,Older brother,Younger brother,Son,Cousin,B,Older brother is 哥哥 (gē ge),Correct! 弟弟 (dì di) means 'younger brother',Son is 儿子 (ér zi),Cousin is 表兄弟 (biǎo xiōng dì),family;hsk1,1
foundation2-family-008,vocab,Foundation 2,Family,HSK1,jiě jie — 姐姐,What does this mean?,Younger sister,Mother,Older sister,Aunt,C,Younger sister is 妹妹 (mèi mei),Mother is 妈妈 (mā ma),Correct! 姐姐 (jiě jie) means 'older sister',Aunt is 阿姨 (ā yí),family;hsk1,1
foundation2-family-009,vocab,Foundation 2,Family,HSK1,mèi mei — 妹妹,What does this mean?,Older sister,Younger sister,Daughter,Cousin,B,Older sister is 姐姐 (jiě jie),Correct! 妹妹 (mèi mei) means 'younger sister',Daughter is 女儿 (nǚ ér),Cousin is 表姐妹 (biǎo jiě mèi),family;hsk1,1
foundation2-family-010,vocab,Foundation 2,Family,HSK1,lǎo pó — 老婆,What does this mean?,Husband,Wife,Mother,Girlfriend,B,Husband is 老公 (lǎo gōng) or 丈夫 (zhàng fu),Correct! 老婆 (lǎo pó) means 'wife' (informal),Mother is 妈妈 (mā ma),Girlfriend is 女朋友 (nǚ péng you),family;hsk1,1
foundation2-family-011,vocab,Foundation 2,Family,HSK1,lǎo gōng — 老公,What does this mean?,Wife,Father,Husband,Boyfriend,C,Wife is 老婆 (lǎo pó) or 妻子 (qī zi),Father is 爸爸 (bà ba),Correct! 老公 (lǎo gōng) means 'husband' (informal),Boyfriend is 男朋友 (nán péng you),family;hsk1,1
foundation2-family-012,vocab,Foundation 2,Family,HSK1,hái zi — 孩子,What does this mean?,Adult,Child/Children,Student,Baby,B,Adult is 成年人 (chéng nián rén),Correct! 孩子 (hái zi) means 'child' or 'children',Student is 学生 (xué sheng),Baby is 婴儿 (yīng ér),family;hsk1,1
foundation2-family-013,vocab,Foundation 2,Family,HSK1,yé ye — 爷爷,What does this mean?,Father,Uncle,Grandfather (paternal),Grandmother,C,Father is 爸爸 (bà ba),Uncle is 叔叔 (shū shu),Correct! 爷爷 (yé ye) means 'grandfather' (father's side),Grandmother is 奶奶 (nǎi nai),family;hsk1,1
foundation2-family-014,vocab,Foundation 2,Family,HSK1,nǎi nai — 奶奶,What does this mean?,Mother,Aunt,Grandmother (paternal),Grandfather,C,Mother is 妈妈 (mā ma),Aunt is 阿姨 (ā yí),Correct! 奶奶 (nǎi nai) means 'grandmother' (father's side),Grandfather is 爷爷 (yé ye),family;hsk1,1
foundation2-family-015,vocab,Foundation 2,Family,HSK1,jiā tíng — 家庭,What does this mean?,House,Family (unit),Home,Relatives,B,House is 房子 (fáng zi),Correct! 家庭 (jiā tíng) means 'family' as a unit or household,Home is 家 (jiā),Relatives is 亲戚 (qīn qi),family;hsk1,1
foundation2-places-001,vocab,Foundation 2,Places,HSK1,jiā — 家,What does this mean?,Home/House,School,Office,Hotel,A,Correct! 家 (jiā) means 'home' or 'house',School is 学校 (xué xiào),Office is 办公室 (bàn gōng shì),Hotel is 酒店 (jiǔ diàn),places;hsk1,1
foundation2-places-002,vocab,Foundation 2,Places,HSK1,xué xiào — 学校,What does this mean?,Library,School,University,Classroom,B,Library is 图书馆 (tú shū guǎn),Correct! 学校 (xué xiào) means 'school',University is 大学 (dà xué),Classroom is 教室 (jiào shì),places;hsk1,1
foundation2-places-003,vocab,Foundation 2,Places,HSK1,gōng sī — 公司,What does this mean?,Company,Factory,Store,Office,A,Correct! 公司 (gōng sī) means 'company',Factory is 工厂 (gōng chǎng),Store is 商店 (shāng diàn),Office is 办公室 (bàn gōng shì),places;hsk1,1
foundation2-places-004,vocab,Foundation 2,Places,HSK1,yín háng — 银行,What does this mean?,Post office,Bank,Store,Hospital,B,Post office is 邮局 (yóu jú),Correct! 银行 (yín háng) means 'bank',Store is 商店 (shāng diàn),Hospital is 医院 (yī yuàn),places;hsk1,1
foundation2-places-005,vocab,Foundation 2,Places,HSK1,yī yuàn — 医院,What does this mean?,Clinic,Pharmacy,Hospital,Doctor's office,C,Clinic is 诊所 (zhěn suǒ),Pharmacy is 药店 (yào diàn),Correct! 医院 (yī yuàn) means 'hospital',Doctor's office is 诊所 (zhěn suǒ),places;hsk1,1
foundation2-places-006,vocab,Foundation 2,Places,HSK1,shāng diàn — 商店,What does this mean?,Market,Store/Shop,Mall,Restaurant,B,Market is 市场 (shì chǎng),Correct! 商店 (shāng diàn) means 'store' or 'shop',Mall is 商场 (shāng chǎng),Restaurant is 餐厅 (cān tīng),places;hsk1,1
foundation2-places-007,vocab,Foundation 2,Places,HSK1,cān tīng — 餐厅,What does this mean?,Kitchen,Cafe,Restaurant,Bar,C,Kitchen is 厨房 (chú fáng),Cafe is 咖啡馆 (kā fēi guǎn),Correct! 餐厅 (cān tīng) means 'restaurant',Bar is 酒吧 (jiǔ bā),places;hsk1,1
foundation2-places-008,vocab,Foundation 2,Places,HSK1,chāo shì — 超市,What does this mean?,Store,Market,Supermarket,Mall,C,Store is 商店 (shāng diàn),Market is 市场 (shì chǎng),Correct! 超市 (chāo shì) means 'supermarket',Mall is 商场 (shāng chǎng),places;hsk1,1
foundation2-places-009,vocab,Foundation 2,Places,HSK1,jiǔ diàn — 酒店,What does this mean?,Bar,Restaurant,Hotel,Motel,C,Bar is 酒吧 (jiǔ bā),Restaurant is 餐厅 (cān tīng),Correct! 酒店 (jiǔ diàn) means 'hotel',Motel is 汽车旅馆 (qì chē lǚ guǎn),places;hsk1,1
foundation2-places-010,vocab,Foundation 2,Places,HSK1,jī chǎng — 机场,What does this mean?,Train station,Bus station,Airport,Port,C,Train station is 火车站 (huǒ chē zhàn),Bus station is 公交车站 (gōng jiāo chē zhàn),Correct! 机场 (jī chǎng) means 'airport',Port is 港口 (gǎng kǒu),places;hsk1,1
foundation2-places-011,vocab,Foundation 2,Places,HSK1,chē zhàn — 车站,What does this mean?,Airport,Station (bus/train),Parking lot,Highway,B,Airport is 机场 (jī chǎng),Correct! 车站 (chē zhàn) means 'station' (bus or train),Parking lot is 停车场 (tíng chē chǎng),Highway is 高速公路 (gāo sù gōng lù),places;hsk1,1
foundation2-places-012,vocab,Foundation 2,Places,HSK1,tú shū guǎn — 图书馆,What does this mean?,Museum,Library,Bookstore,School,B,Museum is 博物馆 (bó wù guǎn),Correct! 图书馆 (tú shū guǎn) means 'library',Bookstore is 书店 (shū diàn),School is 学校 (xué xiào),places;hsk1,1
foundation2-places-013,vocab,Foundation 2,Places,HSK1,gōng yuán — 公园,What does this mean?,Garden,Park,Zoo,Square,B,Garden is 花园 (huā yuán),Correct! 公园 (gōng yuán) means 'park',Zoo is 动物园 (dòng wù yuán),Square is 广场 (guǎng chǎng),places;hsk1,1
foundation2-places-014,vocab,Foundation 2,Places,HSK1,bàn gōng shì — 办公室,What does this mean?,Classroom,Meeting room,Office,Company,C,Classroom is 教室 (jiào shì),Meeting room is 会议室 (huì yì shì),Correct! 办公室 (bàn gōng shì) means 'office',Company is 公司 (gōng sī),places;hsk1,1
foundation2-places-015,vocab,Foundation 2,Places,HSK1,xǐ shǒu jiān — 洗手间,What does this mean?,Kitchen,Bedroom,Bathroom/Restroom,Living room,C,Kitchen is 厨房 (chú fáng),Bedroom is 卧室 (wò shì),Correct! 洗手间 (xǐ shǒu jiān) means 'bathroom' or 'restroom',Living room is 客厅 (kè tīng),places;hsk1,1
foundation2-countries-001,vocab,Foundation 2,Countries,HSK1,Zhōng guó — 中国,What country is this?,Japan,China,Korea,Taiwan,B,Japan is 日本 (Rì běn),Correct! 中国 (Zhōng guó) means 'China',Korea is 韩国 (Hán guó),Taiwan is 台湾 (Tái wān),countries;hsk1,1
foundation2-countries-002,vocab,Foundation 2,Countries,HSK1,Měi guó — 美国,What country is this?,United States,Canada,Mexico,Brazil,A,Correct! 美国 (Měi guó) means 'United States' or 'America',Canada is 加拿大 (Jiā ná dà),Mexico is 墨西哥 (Mò xī gē),Brazil is 巴西 (Bā xī),countries;hsk1,1
foundation2-countries-003,vocab,Foundation 2,Countries,HSK1,Yīng guó — 英国,What country is this?,United States,England/UK,Australia,Ireland,B,United States is 美国 (Měi guó),Correct! 英国 (Yīng guó) means 'England' or 'United Kingdom',Australia is 澳大利亚 (Ào dà lì yà),Ireland is 爱尔兰 (Ài ěr lán),countries;hsk1,1
foundation2-countries-004,vocab,Foundation 2,Countries,HSK1,Jiā ná dà — 加拿大,What country is this?,United States,Mexico,Canada,Brazil,C,United States is 美国 (Měi guó),Mexico is 墨西哥 (Mò xī gē),Correct! 加拿大 (Jiā ná dà) means 'Canada',Brazil is 巴西 (Bā xī),countries;hsk1,1
foundation2-countries-005,vocab,Foundation 2,Countries,HSK1,Ào dà lì yà — 澳大利亚,What country is this?,Austria,New Zealand,Australia,England,C,Austria is 奥地利 (Ào dì lì),New Zealand is 新西兰 (Xīn xī lán),Correct! 澳大利亚 (Ào dà lì yà) means 'Australia',England is 英国 (Yīng guó),countries;hsk1,1
foundation2-countries-006,vocab,Foundation 2,Countries,HSK1,Rì běn — 日本,What country is this?,China,Korea,Japan,Vietnam,C,China is 中国 (Zhōng guó),Korea is 韩国 (Hán guó),Correct! 日本 (Rì běn) means 'Japan',Vietnam is 越南 (Yuè nán),countries;hsk1,1
